Turning_Cut_Depth;Milling_Gear_Depth;Drilling_Surf_Quality;Drill_Pressure;Drilling_Speed;Turning_Rotation_Speed;Turning_Cut_Speed;Milling_Circle_Diameter;Drilling_Diameter;Turning_Shaft_Diameter;class
0.637;0.31;0.005;3.493;38.439;42.663;49.151;1.245;1.459;0.101;OK
0.653;0.32;0.005;1.274;39.552;43.531;49.18;1.313;1.523;0.1;OK
0.617;0.289;0.004;1.729;37.69;43.455;49.172;1.199;1.517;0.102;OK
0.596;0.291;0.005;4.747;38.071;43.164;49.167;1.223;1.496;0.1;OK
0.603;0.309;0.004;1.962;38.626;42.835;49.17;1.257;1.471;0.101;OK
0.579;0.301;0.005;1.117;40.05;42.704;49.176;1.344;1.461;0.101;OK
0.609;0.298;0.005;2.06;38.582;43.564;49.172;1.253;1.525;0.101;OK
0.604;0.303;0.006;2.596;38.71;43.175;49.188;1.261;1.496;0.102;OK
0.599;0.309;0.007;4.076;38.515;42.981;49.161;1.245;1.482;0.104;OK
0.644;0.296;0.007;4.233;38.789;42.953;49.2;1.266;1.48;0.102;OK
0.612;0.291;0.006;2.483;37.693;43.865;49.16;1.198;1.548;0.101;OK
0.646;0.278;0.006;3.194;36.738;43.422;49.197;1.141;1.515;0.102;OK
0.645;0.285;0.007;4.107;36.783;43.407;49.175;1.143;1.514;0.103;OK
0.625;0.279;0.007;1.449;36.109;43.494;49.168;1.103;1.52;0.102;OK
0.612;0.301;0.006;3.732;37.045;43.97;49.176;1.159;1.555;0.102;OK
0.617;0.306;0.007;2.915;37.45;42.731;49.183;1.184;1.464;0.101;OK
0.617;0.312;0.007;3.384;37.756;43.249;49.168;1.203;1.502;0.102;OK
0.613;0.303;0.006;4.088;36.625;43.151;49.177;1.134;1.495;0.101;OK
0.627;0.286;0.007;2.69;37.083;43.513;49.177;1.162;1.522;0.102;OK
0.66;0.292;0.007;2.948;35.291;44.543;49.176;1.053;1.598;0.101;OK
0.622;0.27;0.006;3.342;36.442;43.852;49.184;1.122;1.547;0.101;OK
0.637;0.286;0.007;4.596;36.308;42.895;49.164;1.114;1.476;0.102;OK
0.636;0.281;0.006;3.776;37.668;43.477;49.177;1.197;1.519;0.101;OK
0.629;0.272;0.005;1.791;36.96;42.638;49.172;1.155;1.457;0.101;OK
0.613;0.293;0.005;2.467;37.106;43.037;49.169;1.164;1.487;0.101;OK
0.602;0.299;0.006;1.489;37.282;43.085;49.166;1.172;1.49;0.101;OK
0.604;0.312;0.005;3.146;37.435;42.891;49.185;1.183;1.476;0.101;OK
0.624;0.288;0.006;1.389;37.277;42.898;49.176;1.173;1.477;0.102;OK
0.605;0.315;0.007;1.095;37.824;42.782;49.172;1.206;1.467;0.103;OK
0.616;0.296;0.007;3.816;37.231;43.365;49.18;1.17;1.511;0.102;OK
0.651;0.288;0.006;3.483;38.393;43.562;49.203;1.241;1.525;0.102;OK
0.624;0.293;0.007;3.844;37.509;43.281;49.188;1.188;1.505;0.101;OK
0.651;0.301;0.006;3.983;37.484;42.728;49.18;1.186;1.463;0.102;OK
0.605;0.312;0.007;4.826;37.72;43.174;49.186;1.201;1.497;0.101;OK
0.587;0.3;0.008;1.426;36.991;43.04;49.18;1.157;1.487;0.101;OK
0.62;0.297;0.007;1.594;36.855;42.268;49.201;1.148;1.43;0.102;OK
0.615;0.279;0.009;3.23;35.771;42.882;49.163;1.082;1.475;0.102;OK
0.638;0.275;0.007;1.886;35.514;42.991;49.166;1.067;1.483;0.101;OK
0.642;0.289;0.005;2.477;35.576;43.508;49.183;1.071;1.521;0.103;OK
0.629;0.275;0.007;2.336;35.93;43.376;49.183;1.092;1.512;0.102;OK
0.612;0.297;0.007;2.671;36.079;43.359;49.162;1.1;1.511;0.101;OK
0.602;0.316;0.008;2.838;36.717;43.262;49.185;1.14;1.503;0.102;OK
0.658;0.287;0.007;1.089;34.631;43.298;49.181;1.013;1.506;0.101;OK
0.622;0.294;0.008;3.087;36.791;42.837;49.17;1.143;1.472;0.102;OK
0.633;0.302;0.007;1.159;36.885;43.865;49.17;1.151;1.548;0.101;OK
0.617;0.311;0.007;3.737;36.172;42.831;49.168;1.107;1.471;0.101;OK
0.59;0.304;0.008;1.761;35.546;42.956;49.18;1.067;1.481;0.102;OK
0.599;0.33;0.008;1.032;36.84;43.025;49.177;1.147;1.485;0.103;OK
0.611;0.297;0.009;3.454;36.258;42.671;49.174;1.112;1.46;0.102;OK
0.642;0.305;0.008;1.828;36.202;43.208;49.172;1.108;1.499;0.101;OK
0.623;0.298;0.01;3.366;36.351;43.322;49.178;1.117;1.508;0.101;OK
0.63;0.294;0.009;1.362;36.072;43.555;49.173;1.1;1.525;0.101;OK
0.648;0.294;0.009;4.687;37.234;43.178;49.189;1.171;1.497;0.101;OK
0.61;0.314;0.01;1.68;37.031;43.12;49.193;1.158;1.492;0.102;OK
0.634;0.284;0.009;3.859;37.141;43.554;49.177;1.166;1.525;0.102;OK
0.644;0.299;0.009;3.092;35.545;44.121;49.167;1.068;1.567;0.102;OK
0.634;0.31;0.01;1.316;37.31;43.729;49.17;1.175;1.538;0.103;OK
0.621;0.297;0.009;2.555;35.603;43.434;49.166;1.071;1.516;0.101;OK
0.62;0.304;0.01;1.19;37.419;43.691;49.175;1.184;1.535;0.103;OK
0.642;0.276;0.009;1.822;38.099;43.747;49.189;1.224;1.539;0.102;OK
0.647;0.299;0.01;2.072;35.91;44.042;49.183;1.091;1.561;0.101;OK
0.636;0.302;0.01;4.19;37.131;43.877;49.166;1.165;1.549;0.101;OK
0.628;0.291;0.011;2.465;38.121;43.446;49.168;1.225;1.517;0.101;OK
0.616;0.304;0.01;2.412;38.61;42.91;49.18;1.255;1.477;0.101;OK
0.662;0.298;0.011;2.906;39.429;43.559;49.187;1.304;1.525;0.103;OK
